Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS
156,1.27187E+14,1.27187E+14,16.772213,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772404,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772666,0,,,,,,
156,1.27187E+14,1.27187E+14,16.770462,0,,,,,,
156,1.27187E+14,1.27187E+14,16.771129,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772411,0,,,,,,
156,1.27187E+14,1.27187E+14,16.773244,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772787,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772638,0,,,,,,
156,1.27187E+14,1.27187E+14,16.767894,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772955,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772725,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772681,0,,,,,,
157,1.27187E+14,1.27187E+14,16.773063,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772874,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772878,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772569,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772346,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772609,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772691,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772888,0,,,,,,
157,1.27187E+14,1.27187E+14,16.773091,0,,,,,,
157,1.27187E+14,1.27187E+14,16.77277,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772496,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772438,0,,,,,,
157,1.27187E+14,1.27187E+14,16.771292,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772765,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772919,0,,,,,,
157,1.27187E+14,1.27187E+14,16.773257,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772576,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772678,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772293,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772853,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772739,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772964,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772583,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772304,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772714,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772526,0,,,,,,
157,1.27187E+14,1.27187E+14,16.772771,0,,,,,,
157,1.27187E+14,1.27187E+14,16.77222,0,,,,,,
157,1.27187E+14,1.27188E+14,16.772715,0,,,,,,
157,1.27188E+14,1.27188E+14,16.77287,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772766,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772441,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772828,0,,,,,,
157,1.27188E+14,1.27188E+14,16.771792,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772081,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772177,0,,,,,,
157,1.27188E+14,1.27188E+14,16.773056,0,,,,,,
157,1.27188E+14,1.27188E+14,16.773605,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772642,0,,,,,,
157,1.27188E+14,1.27188E+14,16.7726,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772221,0,,,,,,
157,1.27188E+14,1.27188E+14,16.77298,0,,,,,,
157,1.27188E+14,1.27188E+14,16.771278,0,,,,,,
157,1.27188E+14,1.27188E+14,16.771745,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772752,0,,,,,,
157,1.27188E+14,1.27188E+14,16.771917,0,,,,,,
157,1.27188E+14,1.27188E+14,16.772484,0,,,,,,
157,1.27188E+14,1.27188E+14,16.771939,0,,,,,,
157,1.27188E+14,1.27188E+14,16.77191,0,,,,,,
