Start Time (ns),End Time (ns),Time Elapsed (ms),Result
4.01828E+12,4.01834E+12,59.688183,dandelion
4.01838E+12,4.01843E+12,57.648859,dandelion
4.01848E+12,4.01853E+12,56.707349,dandelion
4.01857E+12,4.01863E+12,58.252557,dandelion
4.01868E+12,4.01873E+12,58.148651,dandelion
4.01878E+12,4.01884E+12,59.889172,dandelion
4.01888E+12,4.01893E+12,58.808495,dandelion
4.01898E+12,4.01904E+12,59.153131,dandelion
4.01907E+12,4.01913E+12,59.396672,dandelion
4.01918E+12,4.01923E+12,56.917141,dandelion
4.01928E+12,4.01934E+12,61.219225,dandelion
4.01937E+12,4.01943E+12,59.41386,dandelion
4.01948E+12,4.01954E+12,60.071725,dandelion
4.01957E+12,4.01964E+12,61.19011,dandelion
4.01967E+12,4.01973E+12,58.474485,dandelion
4.01978E+12,4.01983E+12,55.316099,dandelion
4.01988E+12,4.01993E+12,56.481464,dandelion
4.01998E+12,4.02003E+12,58.798287,dandelion
4.02007E+12,4.02013E+12,57.676204,dandelion
4.02017E+12,4.02023E+12,56.413912,dandelion
4.02028E+12,4.02034E+12,57.240318,dandelion
4.02037E+12,4.02043E+12,60.890527,dandelion
4.02047E+12,4.02053E+12,59.837818,dandelion
4.02058E+12,4.02063E+12,53.67412,dandelion
4.02068E+12,4.02074E+12,57.855787,dandelion
4.02077E+12,4.02083E+12,53.426984,dandelion
4.02088E+12,4.02094E+12,56.348027,dandelion
4.02097E+12,4.02104E+12,61.856933,dandelion
4.02107E+12,4.02113E+12,58.095735,dandelion
4.02118E+12,4.02123E+12,57.435891,dandelion
4.02127E+12,4.02133E+12,55.068963,dandelion
4.02139E+12,4.02144E+12,57.458808,dandelion
4.02147E+12,4.02153E+12,51.749276,dandelion
4.02159E+12,4.02166E+12,69.978914,dandelion
4.02171E+12,4.02177E+12,53.03938,dandelion
4.02181E+12,4.02187E+12,65.118235,dandelion
4.02191E+12,4.02197E+12,60.381308,dandelion
4.02201E+12,4.02207E+12,55.780995,dandelion
4.02211E+12,4.02216E+12,53.785266,dandelion
4.02222E+12,4.02228E+12,61.613235,dandelion
4.02231E+12,4.02236E+12,56.902089,dandelion
4.02241E+12,4.02247E+12,67.149486,dandelion
4.02251E+12,4.02257E+12,63.376152,dandelion
4.02261E+12,4.02267E+12,61.166152,dandelion
4.02271E+12,4.02277E+12,66.450423,dandelion
4.02281E+12,4.02287E+12,60.616412,dandelion
4.02291E+12,4.02297E+12,59.515631,dandelion
4.02301E+12,4.02307E+12,62.415475,dandelion
4.02311E+12,4.02317E+12,62.024173,dandelion
4.02321E+12,4.02327E+12,58.978599,dandelion
4.02331E+12,4.02337E+12,56.753183,dandelion
4.02341E+12,4.02347E+12,62.725527,dandelion
4.02351E+12,4.02356E+12,54.908235,dandelion
4.02362E+12,4.02367E+12,57.885006,dandelion
4.02371E+12,4.02377E+12,68.061621,dandelion
4.02381E+12,4.02387E+12,66.047559,dandelion
4.02391E+12,4.02397E+12,67.740632,dandelion
4.02401E+12,4.02408E+12,69.767663,dandelion
4.02411E+12,4.02416E+12,55.532141,dandelion
4.02421E+12,4.02427E+12,64.090892,dandelion
4.02431E+12,4.02436E+12,55.724485,dandelion
4.02441E+12,4.02447E+12,66.63209,dandelion
4.02451E+12,4.02457E+12,62.580683,dandelion
4.02461E+12,4.02467E+12,58.337037,dandelion
4.02471E+12,4.02477E+12,61.971517,dandelion
4.02481E+12,4.02486E+12,57.221516,dandelion
4.02491E+12,4.02497E+12,60.981412,dandelion
4.02501E+12,4.02506E+12,58.378339,dandelion
4.02511E+12,4.02516E+12,54.942506,dandelion
4.02521E+12,4.02526E+12,56.850787,dandelion
4.02531E+12,4.02537E+12,60.244537,dandelion
4.02541E+12,4.02546E+12,55.868704,dandelion
4.02551E+12,4.02557E+12,59.067558,dandelion
4.02561E+12,4.02567E+12,57.747505,dandelion
4.02571E+12,4.02577E+12,66.379434,dandelion
4.0258E+12,4.02586E+12,60.585371,dandelion
4.02591E+12,4.02597E+12,59.529328,dandelion
4.02601E+12,4.02607E+12,63.985788,dandelion
4.02611E+12,4.02616E+12,51.855943,dandelion
4.02621E+12,4.02627E+12,58.696568,dandelion
4.02631E+12,4.02637E+12,67.623028,dandelion
4.02641E+12,4.02647E+12,69.214486,dandelion
4.02651E+12,4.02656E+12,55.464172,dandelion
4.0266E+12,4.02666E+12,59.287819,dandelion
4.02671E+12,4.02677E+12,57.421672,dandelion
4.02681E+12,4.02687E+12,62.188704,dandelion
4.02691E+12,4.02696E+12,54.644381,dandelion
4.02701E+12,4.02707E+12,65.262037,dandelion
4.0271E+12,4.02717E+12,61.006985,dandelion
4.02721E+12,4.02727E+12,62.199382,dandelion
4.02731E+12,4.02736E+12,58.973027,dandelion
4.02741E+12,4.02747E+12,57.412922,dandelion
4.0275E+12,4.02756E+12,59.704902,dandelion
4.02761E+12,4.02766E+12,54.45985,dandelion
4.0277E+12,4.02777E+12,64.165684,dandelion
4.02781E+12,4.02787E+12,63.222662,dandelion
4.02791E+12,4.02796E+12,59.001828,dandelion
4.02801E+12,4.02807E+12,62.327975,dandelion
4.02811E+12,4.02817E+12,60.91485,dandelion
4.02821E+12,4.02827E+12,63.475215,dandelion
4.0283E+12,4.02836E+12,56.615058,dandelion
4.02841E+12,4.02846E+12,56.210578,dandelion
4.02851E+12,4.02857E+12,59.645162,dandelion
4.02861E+12,4.02867E+12,69.581309,dandelion
4.0287E+12,4.02876E+12,57.801099,dandelion
4.02881E+12,4.02887E+12,53.618235,dandelion
4.02892E+12,4.02897E+12,54.496464,dandelion
4.029E+12,4.02906E+12,58.05985,dandelion
4.02911E+12,4.02917E+12,55.543339,dandelion
4.0292E+12,4.02926E+12,55.622662,dandelion
4.02931E+12,4.02937E+12,61.971986,dandelion
4.02941E+12,4.02947E+12,62.326204,dandelion
4.0295E+12,4.02956E+12,56.853756,dandelion
4.02961E+12,4.02967E+12,61.864173,dandelion
4.0297E+12,4.02976E+12,57.729225,dandelion
4.02982E+12,4.02988E+12,55.962349,dandelion
4.0299E+12,4.02996E+12,54.152454,dandelion
4.03E+12,4.03006E+12,60.708496,dandelion
4.03011E+12,4.03017E+12,57.619173,dandelion
4.03021E+12,4.03026E+12,54.273547,dandelion
4.0303E+12,4.03037E+12,60.43735,dandelion
4.0304E+12,4.03047E+12,61.721985,dandelion
4.03052E+12,4.03058E+12,59.124642,dandelion
4.0306E+12,4.03066E+12,55.299901,dandelion
4.03071E+12,4.03076E+12,55.176568,dandelion
4.03083E+12,4.03089E+12,57.92162,dandelion
4.03094E+12,4.031E+12,62.796464,dandelion
4.03104E+12,4.0311E+12,58.078704,dandelion
4.03114E+12,4.03119E+12,55.511099,dandelion
4.03124E+12,4.0313E+12,59.172923,dandelion
4.03134E+12,4.03139E+12,55.126672,dandelion
4.03144E+12,4.03149E+12,55.987766,dandelion
4.03154E+12,4.0316E+12,61.805996,dandelion
4.03164E+12,4.03169E+12,56.59662,dandelion
4.03174E+12,4.0318E+12,59.674485,dandelion
4.03184E+12,4.03189E+12,57.117454,dandelion
4.03194E+12,4.032E+12,61.783704,dandelion
4.03204E+12,4.0321E+12,62.132871,dandelion
4.03214E+12,4.0322E+12,58.232453,dandelion
4.03224E+12,4.03229E+12,56.251933,dandelion
4.03234E+12,4.03239E+12,56.224016,dandelion
4.03244E+12,4.0325E+12,56.979276,dandelion
4.03254E+12,4.0326E+12,57.981099,dandelion
4.03264E+12,4.0327E+12,58.883131,dandelion
4.03274E+12,4.0328E+12,54.943287,dandelion
4.03284E+12,4.0329E+12,59.737923,dandelion
4.03294E+12,4.033E+12,61.516464,dandelion
4.03304E+12,4.03309E+12,54.386256,dandelion
4.03314E+12,4.03319E+12,56.907089,dandelion
4.03324E+12,4.03329E+12,54.179954,dandelion
4.03334E+12,4.0334E+12,59.509069,dandelion
4.03344E+12,4.03349E+12,56.930214,dandelion
4.03354E+12,4.03359E+12,52.844432,dandelion
4.03364E+12,4.0337E+12,56.317662,dandelion
