Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Time (sec),FPS,
4,6.92E+12,6.92E+12,16.765107,0,,,250,60,
4,6.92E+12,6.92E+12,16.766765,0,,,251,59,
4,6.92E+12,6.92E+12,16.766807,0,,,252,60,
4,6.92E+12,6.92E+12,16.767318,0,,,253,60,
4,6.92E+12,6.92E+12,16.767546,0,,,254,59,
4,6.92E+12,6.92E+12,16.767429,0,,,255,60,
4,6.92E+12,6.92E+12,16.767302,0,,,256,60,
4,6.92E+12,6.92E+12,16.767299,0,,,257,59,
4,6.92E+12,6.92E+12,16.767681,0,,,258,60,
4,6.92E+12,6.92E+12,16.767003,0,,,259,60,
4,6.92E+12,6.92E+12,16.767572,0,,,260,59,
4,6.92E+12,6.92E+12,16.767576,0,,,261,60,
4,6.92E+12,6.92E+12,16.767625,0,,,262,59,
4,6.92E+12,6.92E+12,16.767243,0,,,263,60,
4,6.92E+12,6.92E+12,16.767434,0,,,264,60,
4,6.92E+12,6.92E+12,16.76715,0,,,265,59,
4,6.92E+12,6.92E+12,16.766902,0,,,266,60,
4,6.92E+12,6.92E+12,16.767673,0,,,267,60,
4,6.92E+12,6.92E+12,16.767164,0,,,268,59,
4,6.92E+12,6.92E+12,16.766453,0,,,269,60,
4,6.92E+12,6.92E+12,16.767138,0,,,270,60,
4,6.92E+12,6.92E+12,16.764944,0,,,271,59,
4,6.92E+12,6.92E+12,16.767204,0,,,272,60,
4,6.92E+12,6.92E+12,16.767475,0,,,273,59,
4,6.92E+12,6.92E+12,16.767614,0,,,274,60,
4,6.92E+12,6.92E+12,16.766849,0,,,275,60,
4,6.92E+12,6.92E+12,16.767404,0,,,276,59,
4,6.92E+12,6.92E+12,16.766783,0,,,277,60,
4,6.92E+12,6.92E+12,16.767005,0,,,278,60,
4,6.92E+12,6.92E+12,16.767064,0,,,279,59,
4,6.92E+12,6.92E+12,16.767003,0,,,280,60,
4,6.92E+12,6.92E+12,16.766875,0,,,281,59,
4,6.92E+12,6.92E+12,16.767304,0,,,282,60,
4,6.92E+12,6.92E+12,16.767144,0,,,283,60,
4,6.92E+12,6.92E+12,16.767272,0,,,284,59,
4,6.92E+12,6.92E+12,16.767678,0,,,285,60,
4,6.92E+12,6.92E+12,16.767829,0,,,286,60,
4,6.92E+12,6.92E+12,16.766778,0,,,287,59,
5,6.92E+12,6.92E+12,16.765119,0,,,288,60,
5,6.92E+12,6.92E+12,16.766108,0,,,289,59,
5,6.92E+12,6.92E+12,16.766855,0,,,290,60,
5,6.92E+12,6.92E+12,16.767532,0,,,291,60,
5,6.92E+12,6.92E+12,16.76719,0,,,292,59,
5,6.92E+12,6.92E+12,16.766978,0,,,293,60,
5,6.92E+12,6.92E+12,16.766812,0,,,294,60,
5,6.92E+12,6.92E+12,16.766175,0,,,295,59,
5,6.92E+12,6.92E+12,16.767343,0,,,296,60,
5,6.92E+12,6.92E+12,16.767312,0,,,297,59,
5,6.92E+12,6.92E+12,16.767504,0,,,298,60,
5,6.92E+12,6.92E+12,16.767399,0,,,299,56,
5,6.92E+12,6.92E+12,16.766986,0,,,300,19,
5,6.92E+12,6.92E+12,16.766265,0,,,,,
5,6.92E+12,6.92E+12,16.767139,0,,,,,
5,6.92E+12,6.92E+12,16.767285,0,,,,,
5,6.92E+12,6.92E+12,16.767325,0,,,,,
5,6.92E+12,6.92E+12,16.76645,0,,,,,
5,6.92E+12,6.92E+12,16.767029,0,,,,,
5,6.92E+12,6.92E+12,16.766723,0,,,,,
5,6.92E+12,6.92E+12,16.767423,0,,,,,
5,6.92E+12,6.92E+12,16.767465,0,,,,,
5,6.92E+12,6.92E+12,16.76772,0,,,,,
5,6.92E+12,6.92E+12,16.767371,0,,,,,
5,6.92E+12,6.92E+12,16.766827,0,,,,,
5,6.92E+12,6.92E+12,16.76707,0,,,,,
5,6.92E+12,6.92E+12,16.767658,0,,,,,
5,6.92E+12,6.92E+12,16.767652,0,,,,,
5,6.92E+12,6.92E+12,16.768109,0,,,,,
5,6.92E+12,6.92E+12,16.767456,0,,,,,
5,6.92E+12,6.92E+12,16.767265,0,,,,,
5,6.92E+12,6.92E+12,16.766964,0,,,,,
5,6.92E+12,6.92E+12,16.767268,0,,,,,
5,6.92E+12,6.92E+12,16.767034,0,,,,,
5,6.92E+12,6.92E+12,16.767227,0,,,,,
5,6.92E+12,6.92E+12,16.76718,0,,,,,
5,6.92E+12,6.92E+12,16.767224,0,,,,,
5,6.92E+12,6.92E+12,16.767293,0,,,,,
5,6.92E+12,6.92E+12,16.76727,0,,,,,
5,6.92E+12,6.92E+12,16.767909,0,,,,,
5,6.92E+12,6.92E+12,16.767816,0,,,,,
5,6.92E+12,6.92E+12,16.7673,0,,,,,
5,6.92E+12,6.92E+12,16.767146,0,,,,,
5,6.92E+12,6.92E+12,16.766892,0,,,,,
5,6.92E+12,6.92E+12,16.767583,0,,,,,
5,6.92E+12,6.92E+12,16.767043,0,,,,,
5,6.92E+12,6.92E+12,16.766449,0,,,,,
5,6.92E+12,6.92E+12,16.766245,0,,,,,
5,6.92E+12,6.92E+12,16.767257,0,,,,,
5,6.92E+12,6.92E+12,16.76727,0,,,,,
5,6.92E+12,6.92E+12,16.767685,0,,,,,
5,6.92E+12,6.92E+12,16.767529,0,,,,,
5,6.92E+12,6.92E+12,16.767753,0,,,,,
5,6.92E+12,6.92E+12,16.767455,0,,,,,
5,6.92E+12,6.92E+12,16.767634,0,,,,,
5,6.92E+12,6.92E+12,16.767537,0,,,,,
5,6.92E+12,6.92E+12,16.767291,0,,,,,
5,6.92E+12,6.92E+12,16.767533,0,,,,,
5,6.92E+12,6.92E+12,16.76756,0,,,,,
6,6.92E+12,6.92E+12,16.767178,0,,,,,
6,6.92E+12,6.92E+12,16.767974,0,,,,,
6,6.92E+12,6.92E+12,16.767372,0,,,,,
6,6.92E+12,6.92E+12,16.767536,0,,,,,
6,6.92E+12,6.92E+12,16.766946,0,,,,,
6,6.92E+12,6.92E+12,16.767502,0,,,,,
6,6.92E+12,6.92E+12,16.767263,0,,,,,
6,6.92E+12,6.92E+12,16.767446,0,,,,,
6,6.92E+12,6.92E+12,16.766996,0,,,,,
6,6.92E+12,6.92E+12,16.767519,0,,,,,
6,6.92E+12,6.92E+12,16.767641,0,,,,,
6,6.92E+12,6.92E+12,16.767978,0,,,,,
6,6.92E+12,6.92E+12,16.767711,0,,,,,
