Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
131,652,3731608,3482088,249520,143628,0.933133384,800,273,0.34125,58,0.0725
132,657,3731608,3484348,247260,143628,0.933739021,800,275,0.34375,50,0.0625
133,662,3731608,3487232,244376,143628,0.934511878,800,278,0.3475,44,0.055
134,667,3731608,3484424,247184,143628,0.933759387,800,269,0.33625,56,0.07
135,672,3731608,3485696,245912,143628,0.934100259,800,273,0.34125,58,0.0725
136,677,3731608,3483748,247860,143632,0.933578232,800,248,0.31,52,0.065
137,682,3731608,3486696,244912,143632,0.93436824,800,279,0.34875,58,0.0725
138,687,3731608,3482816,248792,143644,0.933328474,800,239,0.29875,61,0.07625
139,692,3731608,3486336,245272,143644,0.934271767,800,274,0.3425,81,0.10125
140,697,3731608,3488428,243180,143644,0.934832383,800,272,0.34,47,0.05875
141,702,3731608,3485112,246496,143644,0.933943758,800,303,0.37875,56,0.07
142,707,3731608,3486380,245228,143644,0.934283558,800,313,0.39125,53,0.06625
143,712,3731608,3481264,250344,143644,0.932912567,800,259,0.32375,72,0.09
144,717,3731608,3485856,245752,143644,0.934143136,800,297,0.37125,59,0.07375
145,722,3731608,3481596,250012,143644,0.933001537,800,319,0.39875,61,0.07625
146,727,3731608,3486932,244676,143644,0.934431484,800,276,0.345,55,0.06875
147,732,3731608,3482100,249508,143644,0.9331366,800,324,0.405,61,0.07625
148,737,3731608,3485744,245864,143644,0.934113122,800,319,0.39875,52,0.065
149,742,3731608,3480964,250644,143644,0.932832173,800,342,0.4275,74,0.0925
150,747,3731608,3485432,246176,143652,0.934029512,800,264,0.33,58,0.0725
151,752,3731608,3483504,248104,143652,0.933512845,800,344,0.43,56,0.07
152,757,3731608,3486156,245452,143656,0.93422353,800,338,0.4225,56,0.07
153,762,3731608,3489100,242508,143660,0.935012466,800,294,0.3675,48,0.06
154,767,3731608,3487364,244244,143664,0.934547251,800,282,0.3525,58,0.0725
155,772,3731608,3486776,244832,143664,0.934389679,800,241,0.30125,47,0.05875
156,777,3731608,3483088,248520,143664,0.933401365,800,278,0.3475,53,0.06625
157,782,3731608,3487080,244528,143664,0.934471145,800,269,0.33625,56,0.07
158,787,3731608,3482044,249564,143664,0.933121593,800,319,0.39875,66,0.0825
159,792,3731608,3485964,245644,143668,0.934172078,800,297,0.37125,63,0.07875
160,797,3731608,3482896,248712,143672,0.933349912,800,300,0.375,56,0.07
161,802,3731608,3488732,242876,143676,0.934913849,800,316,0.395,81,0.10125
162,807,3731608,3494776,236832,143704,0.936533527,800,319,0.39875,56,0.07
163,812,3731608,3493752,237856,143704,0.936259114,800,366,0.4575,66,0.0825
164,817,3731608,3495364,236244,143704,0.936691099,800,309,0.38625,63,0.07875
165,822,3731608,3494808,236800,143708,0.936542102,800,322,0.4025,50,0.0625
166,827,3731608,3492428,239180,143712,0.935904307,800,300,0.375,56,0.07
167,832,3731608,3494292,237316,143712,0.936403824,800,267,0.33375,70,0.0875
168,837,3731608,3499216,232392,143712,0.937723362,800,371,0.46375,74,0.0925
169,842,3731608,3500548,231060,143712,0.938080313,800,272,0.34,56,0.07
170,847,3731608,3500376,231232,143712,0.93803422,800,269,0.33625,56,0.07
171,852,3731608,3483104,248504,143712,0.933405652,800,288,0.36,72,0.09
172,857,3731608,3483116,248492,143716,0.933408868,800,279,0.34875,64,0.08
173,862,3731608,3479832,251776,143720,0.932528819,800,291,0.36375,41,0.05125
174,867,3731608,3481564,250044,143720,0.932992962,800,282,0.3525,59,0.07375
175,872,3731608,3481800,249808,143720,0.933056205,800,306,0.3825,69,0.08625
176,877,3731608,3479644,251964,143720,0.932478438,800,284,0.355,66,0.0825
177,882,3731608,3479332,252276,143720,0.932394828,800,303,0.37875,50,0.0625
178,887,3731608,3479956,251652,143720,0.932562048,800,276,0.345,55,0.06875
179,892,3731608,3485784,245824,143720,0.934123842,800,315,0.39375,45,0.05625
180,897,3731608,3486684,244924,143720,0.934365024,800,266,0.3325,47,0.05875
181,902,3731608,3482700,248908,143720,0.933297388,800,256,0.32,56,0.07
182,907,3731608,3483192,248416,143720,0.933429235,800,309,0.38625,66,0.0825
183,913,3731608,3481236,250372,143720,0.932905064,800,269,0.33625,50,0.0625
184,918,3731608,3486576,245032,143720,0.934336082,800,322,0.4025,47,0.05875
185,923,3731608,3487756,243852,143720,0.9346523,800,278,0.3475,59,0.07375
186,928,3731608,3484096,247512,143720,0.93367149,800,341,0.42625,56,0.07
187,933,3731608,3484236,247372,143720,0.933709007,800,288,0.36,63,0.07875
188,938,3731608,3484176,247432,143720,0.933692928,800,325,0.40625,56,0.07
189,943,3731608,3483544,248064,143724,0.933523564,800,258,0.3225,48,0.06
190,948,3731608,3482784,248824,143728,0.933319899,800,297,0.37125,52,0.065
191,953,3731608,3488508,243100,143728,0.934853822,800,284,0.355,68,0.085
192,958,3731608,3482464,249144,143728,0.933234145,800,227,0.28375,70,0.0875
193,963,3731608,3483736,247872,143740,0.933575016,800,313,0.39125,78,0.0975
194,968,3731608,3485868,245740,143740,0.934146352,800,275,0.34375,56,0.07
195,973,3731608,3486796,244812,143740,0.934395038,800,294,0.3675,77,0.09625
196,978,3731608,3483356,248252,143740,0.933473184,800,266,0.3325,56,0.07
197,983,3731608,3484468,247140,143740,0.933771179,800,310,0.3875,45,0.05625
198,988,3731608,3485396,246212,143740,0.934019865,800,330,0.4125,42,0.0525
199,993,3731608,3481472,250136,143744,0.932968307,800,331,0.41375,53,0.06625
200,998,3731608,3482804,248804,143752,0.933325258,800,242,0.3025,48,0.06
201,1003,3731608,3486584,245024,143756,0.934338226,800,258,0.3225,42,0.0525
202,1008,3731608,3488404,243204,143756,0.934825952,800,256,0.32,59,0.07375
203,1013,3731608,3484888,246720,143756,0.933883731,800,306,0.3825,56,0.07
204,1018,3731608,3483640,247968,143756,0.93354929,800,341,0.42625,66,0.0825
205,1023,3731608,3484924,246684,143760,0.933893378,800,281,0.35125,56,0.07
206,1028,3731608,3485356,246252,143760,0.934009146,800,267,0.33375,58,0.0725
207,1033,3731608,3482128,249480,143764,0.933144103,800,284,0.355,66,0.0825
208,1038,3731608,3482864,248744,143764,0.933341337,800,312,0.39,52,0.065
209,1043,3731608,3481144,250464,143764,0.93288041,800,300,0.375,48,0.06
210,1048,3731608,3480776,250832,143764,0.932781793,800,272,0.34,63,0.07875
211,1053,3731608,3482824,248784,143764,0.933330618,800,325,0.40625,69,0.08625
212,1058,3731608,3479928,251680,143768,0.932554545,800,263,0.32875,75,0.09375
213,1063,3731608,3481168,250440,143768,0.932886841,800,291,0.36375,56,0.07
214,1068,3731608,3486480,245128,143768,0.934310356,800,288,0.36,53,0.06625
215,1073,3731608,3487032,244576,143768,0.934458282,800,309,0.38625,66,0.0825
216,1078,3731608,3488580,243028,143768,0.934873116,800,300,0.375,50,0.0625
217,1083,3731608,3484104,247504,143768,0.933673633,800,272,0.34,56,0.07
218,1088,3731608,3483544,248064,143768,0.933523564,800,256,0.32,50,0.0625
219,1093,3731608,3481840,249768,143768,0.933066925,800,306,0.3825,69,0.08625
220,1098,3731608,3481560,250048,143768,0.93299189,800,278,0.3475,44,0.055
221,1103,3731608,3488108,243500,143768,0.934746629,800,319,0.39875,55,0.06875
222,1108,3731608,3482512,249096,143768,0.933247008,800,252,0.315,52,0.065
223,1113,3731608,3487764,243844,143768,0.934654444,800,313,0.39125,65,0.08125
