Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.475263,36.680577
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.900522,36.105836
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.411096,36.61641
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.408283,36.613597
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.345471,36.550785
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.748439,35.953753
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.293388,36.498702
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.099533,36.304847
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.292137,36.497451
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.005679,36.210993
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.329741,37.535055
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.8637,36.069014
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.134169,36.339483
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.521147,35.726461
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.301773,36.507087
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.812866,36.01818
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.255731,36.461045
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.103492,36.308806
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.44495,36.650264
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.063544,36.268858
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.258596,36.46391
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.726825,35.932139
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.23521,36.440524
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.834585,36.039899
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.918075,36.123389
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.356252,36.561566
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.023388,36.228702
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.967033,36.172347
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.537346,36.74266
7,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.695106,35.90042
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.539481,36.744795
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.67797,36.883284
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.079482,36.284796
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.999429,36.204743
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.107294,36.312608
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.254793,36.460107
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.936408,36.141722
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.815887,36.021201
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.779481,35.984795
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.273283,36.478597
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.999742,36.205056
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.546721,36.752035
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.466929,37.672243
