Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Total Time Elapsed (ms)
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.0537,22.826356
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.143648,21.916304
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.470262,22.242918
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.506148,22.278804
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.790002,21.562658
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.805419,21.578075
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.681148,22.453804
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.409273,22.181929
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.930679,22.703335
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.559169,22.331825
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.023491,21.796147
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.645366,21.418022
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.015002,21.787658
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.217346,22.990002
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.52771,22.300366
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.317137,22.089793
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.401565,22.174221
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.086512,21.859168
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.954325,21.726981
8,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.087866,21.860522
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.886252,22.658908
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.442867,22.215523
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.016408,21.789064
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.00646,22.779116
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.189637,21.962293
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.708388,21.481044
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.602919,22.375575
