Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
4,2.51E+14,2.51E+14,16.747113,0,,,259,60,,,,
4,2.51E+14,2.51E+14,16.748057,0,,,260,59,,,,
4,2.51E+14,2.51E+14,16.747491,0,,,261,60,,,,
4,2.51E+14,2.51E+14,16.744017,0,,,262,60,,,,
4,2.51E+14,2.51E+14,16.747525,0,,,263,59,,,,
4,2.51E+14,2.51E+14,16.746021,0,,,264,60,,,,
4,2.51E+14,2.51E+14,16.745904,0,,,265,59,,,,
4,2.51E+14,2.51E+14,16.744545,0,,,266,60,,,,
4,2.51E+14,2.51E+14,16.745209,0,,,267,60,,,,
4,2.51E+14,2.51E+14,17.261318,0,,,268,59,,,,
4,2.51E+14,2.51E+14,16.746382,0,,,269,60,,,,
4,2.51E+14,2.51E+14,16.744052,0,,,270,60,,,,
4,2.51E+14,2.51E+14,16.749237,0,,,271,59,,,,
4,2.51E+14,2.51E+14,16.749401,0,,,272,60,,,,
4,2.51E+14,2.51E+14,17.066295,0,,,273,59,,,,
4,2.51E+14,2.51E+14,16.743067,0,,,274,60,,,,
4,2.51E+14,2.51E+14,16.784326,0,,,275,60,,,,
4,2.51E+14,2.51E+14,16.786095,0,,,276,59,,,,
4,2.51E+14,2.51E+14,16.785626,0,,,277,60,,,,
4,2.51E+14,2.51E+14,16.784127,0,,,278,60,,,,
4,2.51E+14,2.51E+14,16.785084,0,,,279,59,,,,
4,2.51E+14,2.51E+14,16.785317,0,,,280,60,,,,
4,2.51E+14,2.51E+14,16.786696,0,,,281,59,,,,
4,2.51E+14,2.51E+14,16.78485,0,,,282,60,,,,
4,2.51E+14,2.51E+14,16.782225,0,,,283,60,,,,
4,2.51E+14,2.51E+14,16.785106,0,,,284,59,,,,
4,2.51E+14,2.51E+14,16.784466,0,,,285,60,,,,
4,2.51E+14,2.51E+14,16.784883,0,,,286,59,,,,
4,2.51E+14,2.51E+14,16.785006,0,,,287,60,,,,
4,2.51E+14,2.51E+14,16.783568,0,,,288,60,,,,
4,2.51E+14,2.51E+14,16.784771,0,,,289,59,,,,
4,2.51E+14,2.51E+14,16.781615,0,,,290,60,,,,
4,2.51E+14,2.51E+14,16.782248,0,,,291,60,,,,
4,2.51E+14,2.51E+14,16.784446,0,,,292,59,,,,
4,2.51E+14,2.51E+14,16.786111,0,,,293,60,,,,
4,2.51E+14,2.51E+14,16.784588,0,,,294,59,,,,
4,2.51E+14,2.51E+14,16.781677,0,,,295,60,,,,
4,2.51E+14,2.51E+14,16.784006,0,,,296,60,,,,
4,2.51E+14,2.51E+14,16.782532,0,,,297,59,,,,
5,2.51E+14,2.51E+14,16.784807,0,,,298,60,,,,
5,2.51E+14,2.51E+14,16.786076,0,,,299,46,,,,
5,2.51E+14,2.51E+14,16.785303,0,,,300,5,,,,
5,2.51E+14,2.51E+14,16.785882,0,,,,,,,,
5,2.51E+14,2.51E+14,16.78529,0,,,,,,,,
5,2.51E+14,2.51E+14,16.785413,0,,,,,,,,
5,2.51E+14,2.51E+14,16.7862,0,,,,,,,,
5,2.51E+14,2.51E+14,16.783462,0,,,,,,,,
5,2.51E+14,2.51E+14,16.783537,0,,,,,,,,
5,2.51E+14,2.51E+14,16.786001,0,,,,,,,,
5,2.51E+14,2.51E+14,16.78427,0,,,,,,,,
5,2.51E+14,2.51E+14,16.781525,0,,,,,,,,
5,2.51E+14,2.51E+14,16.784548,0,,,,,,,,
5,2.51E+14,2.51E+14,16.785909,0,,,,,,,,
5,2.51E+14,2.51E+14,16.78348,0,,,,,,,,
5,2.51E+14,2.51E+14,16.263284,0,,,,,,,,
5,2.51E+14,2.51E+14,16.784783,0,,,,,,,,
