Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
2,2.50E+14,2.50E+14,16.775821,0,,,138,59,,,,
2,2.50E+14,2.50E+14,16.773928,0,,,139,60,,,,
2,2.50E+14,2.50E+14,16.773521,0,,,140,60,,,,
2,2.50E+14,2.50E+14,16.774237,0,,,141,59,,,,
2,2.50E+14,2.50E+14,16.775263,0,,,142,60,,,,
2,2.50E+14,2.50E+14,16.772453,0,,,143,59,,,,
2,2.50E+14,2.50E+14,16.773005,0,,,144,60,,,,
2,2.50E+14,2.50E+14,16.773576,0,,,145,60,,,,
2,2.50E+14,2.50E+14,16.772883,0,,,146,59,,,,
2,2.50E+14,2.50E+14,16.774794,0,,,147,60,,,,
2,2.50E+14,2.50E+14,16.776216,0,,,148,60,,,,
2,2.50E+14,2.50E+14,16.771615,0,,,149,59,,,,
2,2.50E+14,2.50E+14,16.776958,0,,,150,60,,,,
2,2.50E+14,2.50E+14,16.771958,0,,,151,59,,,,
2,2.50E+14,2.50E+14,16.774884,0,,,152,60,,,,
2,2.50E+14,2.50E+14,16.776613,0,,,153,60,,,,
2,2.50E+14,2.50E+14,16.777071,0,,,154,59,,,,
2,2.50E+14,2.50E+14,16.774964,0,,,155,60,,,,
2,2.50E+14,2.50E+14,16.775399,0,,,156,59,,,,
2,2.50E+14,2.50E+14,16.772074,0,,,157,60,,,,
2,2.50E+14,2.50E+14,16.774548,0,,,158,60,,,,
2,2.50E+14,2.50E+14,16.7747,0,,,159,59,,,,
2,2.50E+14,2.50E+14,16.775422,0,,,160,60,,,,
2,2.50E+14,2.50E+14,16.776775,0,,,161,59,,,,
2,2.50E+14,2.50E+14,16.775058,0,,,162,60,,,,
2,2.50E+14,2.50E+14,16.77645,0,,,163,60,,,,
2,2.50E+14,2.50E+14,16.775551,0,,,164,59,,,,
2,2.50E+14,2.50E+14,16.774478,0,,,165,60,,,,
2,2.50E+14,2.50E+14,16.776253,0,,,166,59,,,,
2,2.50E+14,2.50E+14,16.775445,0,,,167,60,,,,
2,2.50E+14,2.50E+14,16.776842,0,,,168,60,,,,
2,2.50E+14,2.50E+14,16.777216,0,,,169,59,,,,
2,2.50E+14,2.50E+14,16.777811,0,,,170,60,,,,
2,2.50E+14,2.50E+14,16.776887,0,,,171,60,,,,
2,2.50E+14,2.50E+14,16.777667,0,,,172,59,,,,
2,2.50E+14,2.50E+14,16.774127,0,,,173,60,,,,
2,2.50E+14,2.50E+14,16.775429,0,,,174,59,,,,
2,2.50E+14,2.50E+14,16.774065,0,,,175,60,,,,
2,2.50E+14,2.50E+14,16.774892,0,,,176,60,,,,
2,2.50E+14,2.50E+14,16.77511,0,,,177,59,,,,
3,2.50E+14,2.50E+14,16.775871,0,,,178,60,,,,
3,2.50E+14,2.50E+14,16.777287,0,,,179,59,,,,
3,2.50E+14,2.50E+14,16.776519,0,,,180,60,,,,
